{A1}

(article)
    0. (1076) 3T *#PT a [æ/eɪ] (article) {A1} indefinite - a/an; (letter) A b c d
              3T *#  an [æn] (article) {A1} indefinite - a/an
   33. (  1) 3T ?#PT amazing [əˈmeɪzɪŋ] {A1} -ing: (v) {B1} {feelings} удивлять, поражать, изумлять
  106. (  1) 3T *#PT box [bɒks] (n) {A1} коробка, ящик, бокс; (v) {B2} {sports: other sports} боксировать
  133. (  2) 3T *#PT capital [ˈkæpɪtl] (n) {A1} {B2} {business} {money} капитал, столица, заглавная буква; (adj) {A1} капитальный, основной
  135. (  1) 3T *#PT card [kɑːd] (n) {A1} {A2} {games and toys} {C2} {computers} карта
  146. (  1) 3T ?#PT chart [ʧɑːt] (n) {A1} диаграмма, график, {B2} {music} схема; (v) {B2} составлять карту
  155. (  1) 3T *#PT city [ˈsɪti] (n) {A1} город
  156. (  1) 3T *#PT class [klɑːs] (n) {A1} {B1} {transport by bus and train} {transport by air} сорт, {B1} {people in society} {C1} {animals} тип, {A1} {education} класс; (adj) классовый; (v) {B2} {people in society} классифицировать
  171. (  1) 3T *#PT company [ˈkʌmpəni] (n) {A1} компания, фирма, общество
  176. (  1) 3T *#PT conversation [ˌkɒnvəˈseɪʃən] (n) {A1} разговор, беседа
  189. (  1) 3T *#PT culture [ˈkʌlʧə] (n) {A1} разведение, культура; (v) выращивать
  190. (  1) 3T *#PT cup [kʌp] (n) {A1} {A2} {sports: ball and racket sports} чашка, кубок, чаша, чашечка
  196. (  1) 3T *#PT dancing [(UK)ˈdɑːnsɪŋ/(US)dænsɪŋ] {A1} -ing: (v) {A1} {hobbies} танцевать
  210. (  1) 3T *#PT detail [ˈdiːteɪl] (n) {A1} {A2} {art} деталь, подробность; (adj) подробный, детальный; (v) {B2} детализировать, подробно рассказывать
  250. (  2) 3T *#PT email [iˈmeɪl] (n) {A1} {phones, email and the internet} электронная почта, е-мейл; (v) {A1} = send an email to
  257. (  1) 3T *#PT event [ɪˈvɛnt] (n) {A1} {B1} {sports: other sports} событие, случай
  264. (  1) 3T *#PT example [(GB)ɪgˈzɑːmpl/(US)ɪgˈzæmpəl] (n) {A1} пример, экземпляр
  301. (  1) 3T *#PT fire [ˈfaɪə] (n) {A1} {B2} {war and conflict} огонь, пожар; (v) {B1} {war and conflict} {social issues} стрелять, выстрелить, увольнять
  381. (  2) 3T *#PT home [hoʊm] (adv) {A1} дома, домой; (n) {A1} {houses and homes} {A2} {buildings} {family and relationship} дом; (adj) {A2} {B2} {spors: ball and racket sports} домашний; (v) возвращаться домой, жить
  404. (  1) 3T *#PT information [ˌɪnfəˈmeɪʃən] (n) {A1} информация
  407. (  1) 3T *#PT interesting [ˈɪntrɪstɪŋ] {A1} -ing: (v) {A1} заинтересовать, интересовать
  426. (  2) 3T *#PT key [kiː] (n) {A1} {B1} {computers} {C1} {music} ключ; (adj) {A1} ключевой, основной; (v) {B1} {computers} настраивать, запирать на ключ
  428. (  1) 3T *#PT kind [kaɪnd] (adj) {B1} {personal qualities} любезный; (n) {A1} вид, семейство
  431. (  1) 3T *#PT land [lænd] (adj) земельный, наземный, сухопутный; (n) {A1} земля; (v) {A2} {transport by air} {space} {transport by water} приземляться
  447. (  1) 3T *#PT life [laɪf] (n) {A1} жизнь, I: life-lives
  479. (  1) 3T *#PT meaning [miːnɪŋ] (n) {A1} смысл; (adj) значащий, значительный; -ing: (v)(stative) {A1} {B1} {change, cause and effect} означать, значить, I: mean-meant-meant
  483. (  1) 3T *#PT member [ˈmɛmbə] (n) {A1} член, участник, представитель
  494. (  1) 3T *#PT model [ˈmɑdəl] (n) {A1} {A2} {clothes and fashion} {jobs} модель, образец; (v) {B2} {scientific research} {clothes and fashion} {C1} {art} моделировать; (adj) образцовый
  515. (  2) 4T *#PT name [neɪm] (n) {A1} {family and relationships} {B2} {opinion and argument} имя, название; (v) {A1} назвать
  537. (  1) 3T *#PT note [nəʊt] (n) {A1} внимание, примечание, записка, {B2} {music} нота, {B1} {money} {shopping} банкнот, замечание, заметка, запись; (v) {B1} отмечать, делать заметки, записывать
  543. (  1) 3T *#PT object [ˈɒbʤ ɪkt->(n)/əbˈʤ ɛkt->(v)] (n) {A1} объект, {B1} {language} предмет, цель; (v) {B2} {opinion and argument} возражать, возразить; (adj) объектный
  562. (  2) 3T *#PT order [ˈɔːdə] (n) {A2} {cooking and eating} {B1} {business} {shopping} заказ, {A1} {B1} {law and justice} порядок, орден, {B1} {war and conflict} приказ; (v) {A1} {cooking and eating} {A2} {shopping} заказывать, {B1} {permission and obligation} {war and conflict} приказывать, упорядочивать
  573. (  1) 3T *#PT paper [ˈpeɪpər] (n) {A1} {A2} {literature and writing} документ, бумага, статья, газета; (adj) бумажный
